Title,Genre,Descriptions
Avatar,Action / Adventure / Fantasy / Sci-Fi,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. - IMDb
Avengers: Endgame,Action / Adventure / Drama / Sci-Fi,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame. - IMDb"
Avatar: The Way of Water,Action / Adventure / Fantasy / Sci-Fi,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home. - IMDb"
Titanic,Drama / Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic. - IMDb"
Star Wars: Episode VII - The Force Awakens,Action / Adventure / Fantasy / Sci-Fi,"30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the resistance and the daunting legions of the First Order. - IMDb"
Avengers: Infinity War,Action / Adventure / Fantasy / Sci-Fi,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain. - IMDb"
Spider-Man: No Way Home,Action / Adventure / Fantasy / Sci-Fi,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man. - IMDb"
Jurassic World,Action / Adventure / Sci-Fi,"22 years after the original Jurassic Park failed, the new park (also known as Jurassic World) is open for business. After years of studying genetics the scientists on the park genetically engineer a new breed of dinosaur. When everything goes horribly wrong, will our heroes make it off the island? - IMDb"
The Lion King,Animation / Adventure / Drama / Family / Musical,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery. - IMDb"
The Avengers,Action / Sci-Fi / Thriller,"Nick Fury is director of S.H.I.E.L.D, an international peace keeping agency. The agency is a who's who of Marvel Super Heroes, with Iron Man, The Incredible Hulk, Thor, Captain America, Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts, Nick Fury and his team will need all their powers to save the world from disaster. - IMDb"
Furious Seven,Action / Crime / Thriller,"Dominic and his crew thought they'd left the criminal mercenary life behind. They'd defeated international terrorist Owen Shaw and went their separate ways. But now, Shaw's brother, Deckard Shaw, is out killing the crew one by one for revenge. Worse, a Somalian terrorist called Jakarde and a shady government official called ""Mr. Nobody"" are both competing to steal a computer terrorism program called ""God's Eye,"" that can turn any technological device into a weapon. Torretto must reconvene with his team to stop Shaw and retrieve the God's Eye program while caught in a power struggle between the terrorist and the United States government. - IMDb"
Top Gun: Maverick,Action / Drama,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. - IMDb"
Frozen II,Animation / Adventure / Comedy / Family / Fantasy / Musical,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom. - IMDb"
Barbie,,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken. - IMDb
